filter_configuration,excitation_low_DAPI,excitation_low_ER,excitation_low_RNA,excitation_low_AGP,excitation_low_Mito,excitation_high_DAPI,excitation_high_ER,excitation_high_RNA,excitation_high_AGP,excitation_high_Mito,emission_low_DAPI,emission_low_ER,emission_low_RNA,emission_low_AGP,emission_low_Mito,emission_high_DAPI,emission_high_ER,emission_high_RNA,emission_high_AGP,emission_high_Mito,FPBase_config
A,405,488,488,561,640,405,488,488,561,640,422.5,500,581.5,581.5,661.5,467.5,550,618.5,618.5,690.5,http://broad.io/JUMPProductionConfigCV8000
B,405,488,488,561,640,405,488,488,561,640,435,500,570,570,650,480,550,630,630,760,http://broad.io/JUMPProductionConfigPhenix405
C,405,488,488,561,640,405,488,488,561,640,422.5,500,661.5,581.5,661.5,467.5,550,690.5,618.5,690.5,http://broad.io/JUMPProductionConfigCV8000
D,405,488,488,561,640,405,488,488,561,640,422.5,504.5,581.5,581.5,661.5,467.5,539.5,618.5,618.5,690.5,http://broad.io/JUMPProductionConfigCV7000
E,350,458,511,544,617,404,492,551,576,645,417,516,573,604,672,477,556,613,644,712,http://broad.io/JUMPProductionConfigImageXpress
F,365,475,510,550,630,365,475,510,550,630,430,500,525,600,655,500,550,580,640,760,http://broad.io/JUMPProductionConfigOperetta
G,375,488,488,561,640,375,488,488,561,640,435,500,500,570,650,480,550,550,630,760,http://broad.io/JUMPProductionConfigPhenix375
H,375,488,488,561,640,375,488,488,561,640,435,500,570,570,650,480,550,630,630,760,http://broad.io/JUMPProductionConfigPhenix375
